"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 07:52:39 GMT 2023","Tue Feb 28 07:52:39 GMT 2023","789","","Friday App API","","","","returns 200 for isFriday",""
"passed","Tue Feb 28 07:52:38 GMT 2023","Tue Feb 28 07:52:38 GMT 2023","209","","Friday App","","","","displays an info that today is Friday",""
"passed","Tue Feb 28 07:52:38 GMT 2023","Tue Feb 28 07:52:39 GMT 2023","232","","Friday App","","","","displays how long should I wait for Friday",""
"passed","Tue Feb 28 07:52:35 GMT 2023","Tue Feb 28 07:52:38 GMT 2023","2757","","Friday App","","","","displays an info that today is not Friday",""
"passed","Tue Feb 28 07:52:39 GMT 2023","Tue Feb 28 07:52:40 GMT 2023","506","","Friday App API","","","","returns 200 for minutesToFriday",""
